1.2.840.10008.5.1.4.1.1.9.1.1|12-Lead ECG Waveform Storage.def
1.2.840.10008.5.1.4.1.1.9.1.3|Ambulatory ECG Waveform Storage.def
1.2.840.10008.5.1.4.1.1.78.2|Autorefraction Measurements Storage.def
1.2.840.10008.5.1.1.15|Basic Annotation Box.def
1.2.840.10008.5.1.4.1.1.9.3.1|Cardiac Electrophysiology Waveform Storage.def
1.2.840.10008.5.1.1.4.1|Basic Color Image Box.def
1.2.840.10008.5.1.1.18|Basic Color Print Management Meta.def
1.2.840.10008.5.1.1.2|Basic Film Box.def
1.2.840.10008.5.1.1.1|Basic Film Session.def
1.2.840.10008.5.1.1.4|Basic Grayscale Image Box.def
1.2.840.10008.5.1.1.9|Basic Grayscale Print Management Meta.def
1.2.840.10008.5.1.1.24.1|Basic Print Image Overlay Box.def
1.2.840.10008.5.1.4.1.1.131|Basic Structured Display Storage.def
1.2.840.10008.1.9|Basic Study Content Notification.def
1.2.840.10008.5.1.4.1.1.88.11|Basic Text SR.def
1.2.840.10008.5.1.4.1.1.9.4.1|Basic Voice Audio Waveform Storage.def
1.2.840.10008.5.1.4.1.1.11.4|Blending Softcopy Presentation State Storage.def
1.2.840.10008.5.1.4.37.2|Breast Imaging Relevant Patient Information Query.def
1.2.840.10008.5.1.4.1.1.13.1.3|Breast Tomosynthesis Image Storage.def
1.2.840.10008.5.1.4.37.3|Cardiac Relevant Patient Information Query.def
1.2.840.10008.5.1.4.1.1.88.65|Chest CAD SR.def
1.2.840.10008.5.1.4.1.1.11.2|Color Softcopy Presentation State Storage.def
1.2.840.10008.5.1.4.1.1.88.33|Comprehensive SR.def
1.2.840.10008.5.1.4.1.1.1|Computed Radiography Image Storage.def
1.2.840.10008.5.1.4.1.1.2|CT Image Storage.def
1.2.840.10008.5.1.4.1.1.66.3|Deformable Spatial Registration Storage.def
1.2.840.10008.3.1.2.6.1|Detached Interpretation Management.def
1.2.840.10008.3.1.2.1.1|Detached Patient Management.def
1.2.840.10008.3.1.2.1.4|Detached Patient Management Meta.def
1.2.840.10008.3.1.2.5.1|Detached Results Management.def
1.2.840.10008.3.1.2.5.4|Detached Results Management Meta.def
1.2.840.10008.3.1.2.3.1|Detached Study Management.def
1.2.840.10008.3.1.2.5.5|Detached Study Management Meta.def
1.2.840.10008.3.1.2.2.1|Detached Visit Management.def
1.2.840.10008.5.1.4.1.1.1.3|Digital Intra-oral X-Ray Image Storage - Presentation.def
1.2.840.10008.5.1.4.1.1.1.3.1|Digital Intra-oral X-Ray Image Storage - Processing.def
1.2.840.10008.5.1.4.1.1.1.2|Digital Mammography X-Ray Image Storage - Presentation.def
1.2.840.10008.5.1.4.1.1.1.2.1|Digital Mammography X-Ray Image Storage - Processing.def
1.2.840.10008.5.1.4.1.1.1.1|Digital X-Ray Image Storage - For Presentation.def
1.2.840.10008.5.1.4.1.1.1.1.1|Digital X-Ray Image Storage - For Processing.def
1.2.840.10008.5.1.4.1.1.104.1|Encapsulated PDF Storage.def
1.2.840.10008.5.1.4.1.1.2.1|Enhanced CT Image Storage.def
1.2.840.10008.5.1.4.1.1.4.3|Enhanced MR Color Image Storage.def
1.2.840.10008.5.1.4.1.1.4.1|Enhanced MR Image Storage.def
1.2.840.10008.5.1.4.1.1.130|Enhanced PET Image Storage.def
1.2.840.10008.5.1.4.1.1.88.22|Enhanced SR.def
1.2.840.10008.5.1.4.1.1.12.1.1|Enhanced XA Image Storage.def
1.2.840.10008.5.1.4.1.1.12.2.1|Enhanced XRF Image Storage.def
1.2.826.0.1.3680043.2.1545.1.99.1|File Meta.def
1.2.840.10008.5.1.4.1.1.9.1.2|General ECG Waveform Storage.def
1.2.840.10008.5.1.4.32.3|General Purpose Performed Procedure Step.def
1.2.840.10008.5.1.4.32.2|General Purpose Scheduled Procedure Step.def
1.2.840.10008.5.1.4.32.1|General Purpose Worklist.def
1.2.840.10008.5.1.4.32|General Purpose Worklist Management Meta.def
1.2.840.10008.5.1.4.37.1|General Relevant Patient Information Query.def
1.2.840.10008.5.1.4.38.1|Hanging Protocol Storage.def
1.2.840.10008.5.1.1.30|Hardcopy Color Image Storage.def
1.2.840.10008.5.1.1.29|Hardcopy Grayscale Image Storage.def
1.2.840.10008.5.1.4.1.1.9.2.1|Hemodynamic Waveform Storage.def
1.2.840.10008.5.1.1.24|Image Overlay Box - Retired.def
1.2.840.10008.5.1.4.33|Instance Availability Notification.def
1.2.840.10008.5.1.4.1.1.78.3|Keratometry Measurements Storage.def
1.2.840.10008.5.1.4.1.1.88.59|Key Object Selection Document.def
1.2.840.10008.5.1.4.1.1.78.1|Lensometry Measurement Storage.def
1.2.840.10008.5.1.4.1.1.88.50|Mammography CAD SR.def
1.2.840.10008.5.1.1.33|Media Creation Management UID.def
1.2.840.10008.1.3.10|Media Storage Directory.def
1.2.840.10008.3.1.2.3.3|Modality Performed Procedure Step.def
1.2.840.10008.3.1.2.3.5|Modality Performed Procedure Step Notification.def
1.2.840.10008.3.1.2.3.4|Modality Performed Procedure Step Retrieve.def
1.2.840.10008.5.1.4.31|Modality Worklist Information Model - Find.def
1.2.840.10008.5.1.4.1.1.4|MR Image Storage.def
1.2.840.10008.5.1.4.1.1.4.2|MR Spectroscopy Storage.def
1.2.840.10008.5.1.4.1.1.7.2|Multi-frame Grayscale Byte Seconday Capture Image Storage.def
1.2.840.10008.5.1.4.1.1.7.3|Multi-frame Grayscale Word Seconday Capture Image Storage.def
1.2.840.10008.5.1.4.1.1.7.1|Multi-frame Single Bit Secondary Capture Image Storage.def
1.2.840.10008.5.1.4.1.1.7.4|Multi-frame True Color Secondary Capture Image Storage.def
1.2.840.10008.5.1.4.1.1.20|Nuclear Medicine Image Storage.def
